page	query	recent_clicks	prior_clicks	click_delta	recent_impressions	prior_impressions	impression_delta	recent_ctr	prior_ctr	recent_position	prior_position
https://gainframe.app/	(gainframe app what is it) (site:x.com or site:gainframe.app)	0	0	0	0	12	-12	0.0	0.0		1.0
https://gainframe.app/	(gainframe.app) (site:x.com or site:gainframe.app)	0	0	0	0	10	-10	0.0	0.0		1.0
https://gainframe.app/	am i fat ai photo	0	0	0	0	10	-10	0.0	0.0		8.8
https://gainframe.app/	gain frame	18	17	1	38	33	5	0.47368421052631576	0.5151515151515151	1.0263157894736843	1.2121212121212122
https://gainframe.app/	gain frame app	5	5	0	6	9	-3	0.8333333333333334	0.5555555555555556	1.0	1.0
https://gainframe.app/	gainframe	93	119	-26	144	222	-78	0.6458333333333334	0.536036036036036	1.0	1.0135135135135136
https://gainframe.app/	gainframe app	4	15	-11	8	27	-19	0.5	0.5555555555555556	1.0	2.3703703703703702
https://gainframe.app/	which online coaching fitness platforms track body measurements using photo ai for progress reports?	0	0	0	9	6	3	0.0	0.0	6.555555555555555	4.333333333333334
https://gainframe.app/about/	(gainframe app what is it) (site:x.com or site:gainframe.app)	0	0	0	0	12	-12	0.0	0.0		8.083333333333332
https://gainframe.app/about/	(gainframe.app) (site:x.com or site:gainframe.app)	0	0	0	0	10	-10	0.0	0.0		6.9
https://gainframe.app/about/	gain frame	0	1	-1	10	11	-1	0.0	0.09090909090909091	1.9	1.7272727272727273
https://gainframe.app/about/	gainframe	0	0	0	52	79	-27	0.0	0.0	1.75	4.063291139240507
https://gainframe.app/about/	gainframe app	0	0	0	4	13	-9	0.0	0.0	3.0	7.0
https://gainframe.app/blog/	(gainframe app what is it) (site:x.com or site:gainframe.app)	0	0	0	0	12	-12	0.0	0.0		4.083333333333334
https://gainframe.app/blog/	(gainframe.app) (site:x.com or site:gainframe.app)	0	0	0	0	10	-10	0.0	0.0		4.1
https://gainframe.app/blog/	gain frame	0	0	0	10	8	2	0.0	0.0	1.7	8.25
https://gainframe.app/blog/	gainframe	0	0	0	37	49	-12	0.0	0.0	2.135135135135135	3.693877551020408
https://gainframe.app/blog/	gainframe app	0	0	0	7	8	-1	0.0	0.0	5.857142857142857	6.125
https://gainframe.app/blog/10-pounds-fat-vs-muscle/	does muscle weigh more than fat	0	0	0	10	44	-34	0.0	0.0	2.0	1.9772727272727273
https://gainframe.app/blog/aesthetic-physique-body-fat-percentage/	aesthetic body meaning	0	0	0	17	25	-8	0.0	0.0	10.529411764705882	9.16
https://gainframe.app/blog/aesthetic-physique-body-fat-percentage/	aesthetic physics body	0	0	0	11	1	10	0.0	0.0	7.909090909090909	9.0
https://gainframe.app/blog/aesthetic-physique-body-fat-percentage/	aesthetic physique	1	0	1	17	29	-12	0.058823529411764705	0.0	6.529411764705882	6.482758620689655
https://gainframe.app/blog/aesthetic-physique-body-fat-percentage/	aesthetic physique meaning	1	0	1	16	14	2	0.0625	0.0	8.0625	7.214285714285714
https://gainframe.app/blog/aesthetic-physique-body-fat-percentage/	what is an aesthetic physique	0	0	0	9	5	4	0.0	0.0	7.444444444444445	5.8
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	best ai body editor	1	1	0	20	13	7	0.05	0.07692307692307693	2.3	3.1538461538461537
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	best ai editing app for extreme body modifications	0	0	0	8	15	-7	0.0	0.0	4.0	2.8
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	best ai for body editing	0	1	-1	4	14	-10	0.0	0.07142857142857142	2.5	1.9285714285714286
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	best body ai	1	2	-1	52	28	24	0.019230769230769232	0.07142857142857142	4.423076923076923	5.714285714285714
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	best body editor app	0	1	-1	38	21	17	0.0	0.047619047619047616	5.2368421052631575	4.523809523809524
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	best free ai body editor	0	0	0	14	18	-4	0.0	0.0	8.285714285714285	8.777777777777779
https://gainframe.app/blog/ai-body-fat-photo-accuracy-study/	visual estimation body fat percentage from photographs accuracy study	0	0	0	11	2	9	0.0	0.0	7.2727272727272725	9.0
https://gainframe.app/blog/ai-body-fat-photo-accuracy-study/	visual estimation body fat percentage photographs accuracy study	0	0	0	18	2	16	0.0	0.0	8.055555555555555	6.5
https://gainframe.app/blog/ai-fitness-coach-vs-chatgpt/	best llm for workout plans	1	0	1	8	1	7	0.125	0.0	6.75	1.0
https://gainframe.app/blog/ai-physique-rating-apps/	ai physique rater	4	0	4	67	23	44	0.05970149253731343	0.0	5.388059701492537	11.347826086956522
https://gainframe.app/blog/ai-physique-rating-apps/	ai physique rating	0	1	-1	6	8	-2	0.0	0.125	3.6666666666666665	4.75
https://gainframe.app/blog/ai-physique-rating-apps/	body rater	0	1	-1	7	76	-69	0.0	0.013157894736842105	6.857142857142857	8.697368421052632
https://gainframe.app/blog/ai-physique-rating-apps/	body rating	0	2	-2	3	25	-22	0.0	0.08	8.666666666666668	8.8
https://gainframe.app/blog/ai-physique-rating-apps/	body rating ai	1	0	1	26	10	16	0.038461538461538464	0.0	4.3076923076923075	4.9
https://gainframe.app/blog/ai-physique-rating-apps/	body rating app	0	2	-2	0	9	-9	0.0	0.2222222222222222		3.7777777777777777
https://gainframe.app/blog/ai-physique-rating-apps/	physique ai rater	1	0	1	8	5	3	0.125	0.0	5.0	7.0
https://gainframe.app/blog/ai-physique-rating-apps/	physique rate ai	0	0	0	10	3	7	0.0	0.0	5.5	6.333333333333333
