landingPagePlusQueryString	pageTitle	recent_sessions	prior_sessions	sessions_delta	recent_newUsers	prior_newUsers	newUsers_delta	recent_engagedSessions	prior_engagedSessions
/blog/ai-body-editor-apps-vs-real-analysis/	5 Best AI Body Editor Apps 2026 (+ the Honest Alternative) | GainFrame	57	10	47	51	10	41	21	3
/blog/ai-body-fat-photo-accuracy-study/	Is AI Body Fat Analysis Accurate? A 2025 Study Says Yes | GainFrame	73	32	41	70	28	42	38	16
/blog/best-ai-body-fat-apps/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	146	108	38	134	101	33	80	57
/blog/body-fat-percentage-chart/	Body Fat Percentage Chart with Photos: Visual Guide for Men & Women | GainFrame	61	25	36	61	24	37	20	8
/blog/visceral-fat-level/	Visceral Fat Level: What Your Number Means and What's Healthy | GainFrame	30	5	25	29	5	24	8	2
/blog/best-ai-fitness-apps-track-body/	Best AI Fitness Apps That Track Your Body in 2026 (Not Just Your Workout) | GainFrame	26	8	18	26	8	18	3	4
/blog/best-ai-personal-trainer-apps/	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	23	7	16	19	7	12	6	2
/blog/best-body-composition-apps/	Best Body Composition Apps for Tracking Progress (2026): Spren, GainFrame, ZOZOFIT & More | GainFrame	32	17	15	31	17	14	8	4
/blog/visceral-fat-test/	How to Test for Visceral Fat: Every Method Ranked | GainFrame	16	1	15	16	1	15	3	0
/blog/ai-body-fat-photo-accuracy-study/	Free AI Body Fat Estimator from a Photo | GainFrame	15	3	12	0	0	0	15	3
/tools/body-fat-visualizer/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	16	4	12	15	4	11	5	1
/blog/best-ai-body-fat-apps/	GainFrame - The AI Body Composition App for Gym Goers	33	24	9	0	0	0	33	24
/blog/best-body-fat-calculator-from-photo/	Best Body Fat Calculator from Photo: Why AI Beats Smart Scales | GainFrame	9	0	9	8	0	8	3	0
/blog/visceral-fat-app/	Best Visceral Fat Tracking Apps in 2026 (And What They Can Actually Measure) | GainFrame	13	4	9	11	4	7	3	0
/blog/bulk-cut-or-recomp/	Bulk, Cut, or Recomp: Which Should You Actually Choose? | GainFrame	11	4	7	11	2	9	1	2
/blog/how-to-estimate-body-fat-from-photo/	How to Estimate Body Fat % from a Photo: Visual Markers + AI Method | GainFrame	10	3	7	10	3	7	0	0
/blog/spren-app-review/	Spren App Review 2026: Accuracy, Cost & Who It's Actually For | GainFrame	12	5	7	11	5	6	3	4
/blog/aesthetic-physique-body-fat-percentage/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	6	0	6	6	0	6	1	0
/blog/body-fat-percentage-chart/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	8	2	6	0	0	0	8	2
/blog/ffmi-chart/	FFMI Chart: Where Do You Actually Fall? (Men & Women) | GainFrame	10	4	6	10	3	7	3	1
(not set)	GainFrame - The AI Body Composition App for Gym Goers	18	13	5	0	0	0	0	1
/blog/shoulder-to-waist-ratio/	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	5	0	5	3	0	3	2	0
/blog/ai-body-fat-photo-accuracy-study/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	4	0	4	0	0	0	4	0
/blog/ai-fitness-coach-strava-integration/	AI Fitness Coach with Strava Integration: A Real Walkthrough (2026) | GainFrame	4	0	4	1	0	1	2	0
/blog/ai-fitness-coach-vs-chatgpt/	AI Fitness Coach vs ChatGPT: When a Dedicated App Beats a General LLM (2026) | GainFrame	7	3	4	7	1	6	2	2
/blog/body-recomposition-tracker/	Body Recomposition Tracker: How to Know Your Recomp Is Actually Working | GainFrame	6	2	4	6	2	4	2	1
/blog/resistance-training-guidelines/	ACSM Resistance Training Guidelines (2025): Sets, Reps & Frequency Explained | GainFrame	39	35	4	37	34	3	15	13
/blog/visceral-fat-appearance/	What Does Visceral Fat Look Like? How to Tell If You Have It | GainFrame	5	1	4	5	1	4	1	0
/tools/macro-calculator/	Macro Calculator — Free Protein, Carb &amp; Fat Targets | GainFrame	8	4	4	6	3	3	3	1
/?ref=selectedsite	GainFrame - The AI Body Composition App for Gym Goers	4	1	3	4	1	3	0	0
/blog/ai-body-fat-photo-accuracy-study/	Body Fat Percentage Calculator — Free Estimate | GainFrame	3	0	3	0	0	0	3	0
/blog/ai-body-fat-photo-accuracy-study/	GainFrame - The AI Body Composition App for Gym Goers	6	3	3	0	0	0	6	3
/blog/ai-physique-rating-apps/	5 AI Physique Rating Apps Tested (2026): Toy Scorers vs Real Assessment | GainFrame	5	2	3	5	2	3	0	2
/blog/best-ai-body-fat-apps/	Free AI Body Fat Estimator from a Photo | GainFrame	7	4	3	0	0	0	7	4
/blog/body-fat-from-photo-app/	How to Calculate Body Fat from a Photo using AI | GainFrame	4	1	3	4	1	3	0	0
/blog/dexa-scan-alternative/	DEXA Scan Alternative: 6 Options Ranked by Cost, Accuracy & Convenience | GainFrame	9	6	3	9	6	3	4	1
/blog/how-long-does-body-recomposition-take/	How Long Does Body Recomposition Take? A Realistic Timeline | GainFrame	9	6	3	8	6	2	3	1
/blog/visceral-fat-vs-subcutaneous-fat/	Visceral Fat vs Subcutaneous Fat: What's the Difference (and Which One Should You Actually Worry About)? | GainFrame	4	1	3	4	1	3	0	0
/tools/body-fat-from-photo/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	3	0	3	0	0	0	3	0
/tools/ffmi-calculator/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	4	1	3	4	1	3	0	0
/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	0	0	0	2	0
/	Progress Photo Setup Tool — Perfect Your Gym Photos | GainFrame	2	0	2	0	0	0	2	0
/	Which App Has the Best Before-and-After Transformations for Men? | GainFrame	2	0	2	0	0	0	2	0
/blog/ai-body-fat-photo-accuracy-study/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	2	0	2	0	0	0	2	0
/blog/ai-body-fat-photo-accuracy-study/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	2	0	2	0	0	0	2	0
/blog/ai-body-fat-photo-accuracy-study/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	0	0	0	2	0
/blog/ai-fitness-coach-strava-integration/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	2	0	2	0	0	0	2	0
/blog/ai-fitness-coach-strava-integration/	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	0	0	0	2	0
/blog/best-ai-body-composition-app/	Best AI Body Scan & Body Composition App in 2026: Full Comparison | GainFrame	22	20	2	20	19	1	8	4
/blog/best-ai-body-composition-app/	Body Fat Percentage Calculator — Free Estimate | GainFrame	2	0	2	0	0	0	2	0
/blog/best-ai-body-composition-app/	Free AI Body Fat Estimator from a Photo | GainFrame	2	0	2	0	0	0	2	0
/blog/best-ai-body-fat-apps/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	0	0	0	2	0
/blog/best-ai-body-fat-apps/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	4	2	2	0	0	0	4	2
/blog/best-apps-track-weight-loss-ozempic/	Best Apps to Track Weight Loss on Ozempic in 2026 (Beyond Just the Scale) | GainFrame	4	2	2	4	1	3	0	1
/blog/best-fitness-app-stack-2026/	The Best Fitness App Stack for 2026: Strava, Hevy, GainFrame & CalAI | GainFrame	7	5	2	6	5	1	2	0
/blog/best-free-progress-photo-apps/	Best Free Progress Photo Apps (2026): What Actually Works Without Paying | GainFrame	9	7	2	9	6	3	5	2
/blog/future-physique-ai-prediction/	Future Physique: See Where Your Body Is Headed | GainFrame	4	2	2	4	2	2	0	0
/blog/gainframe-vs-fitbod-ray-gymstreak/	GainFrame Coach vs Fitbod vs Ray vs GymStreak (2026 Comparison) | GainFrame	2	0	2	2	0	2	0	0
/blog/is-your-lean-bulk-working/	How to Tell If You're Skinny Fat (And Why the Scale Can't) | GainFrame	2	0	2	0	0	0	2	0
/blog/is-your-lean-bulk-working/	Is Your Lean Bulk Working? How to Tell If You're Gaining Muscle or Fat | GainFrame	2	0	2	0	0	0	2	0
/blog/natty-limit/	Natty Limit: How Big Can You Get Naturally? (With Real Numbers) | GainFrame	5	3	2	5	3	2	2	0
/blog/skinny-fat-to-muscular/	Skinny Fat to Muscular: The Recomp Playbook (and How to Track It) | GainFrame	2	0	2	2	0	2	1	0
/blog/take-progress-photos-by-yourself/	How to Take Progress Photos By Yourself: 5-Minute Setup (No Tripod Required) | GainFrame	4	2	2	4	2	2	0	1
/blog/why-body-fat-score-wrong/	Why Your Body Fat Score Is Wrong (It Might Not Be Your Body) | GainFrame	5	3	2	5	3	2	0	0
/tools/body-fat-from-photo/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	2	0	2	0	0	0	2	0
/tools/body-fat-from-photo/	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	0	0	0	2	0
/tools/body-fat-from-photo/	Is AI Body Fat Analysis Accurate? A 2025 Study Says Yes | GainFrame	2	0	2	0	0	0	2	0
/tools/macro-calculator/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	2	0	2	0	0	0	2	0
(not set)	Best AI Fitness Apps That Track Your Body in 2026 (Not Just Your Workout) | GainFrame	1	0	1	0	0	0	0	0
(not set)	Body Fat Percentage Chart with Photos: Visual Guide for Men & Women | GainFrame	1	0	1	0	0	0	0	0
(not set)	Body Recomposition Tracker: How to Know Your Recomp Is Actually Working | GainFrame	1	0	1	0	0	0	0	0
(not set)	Bulk, Cut, or Recomp: Which Should You Actually Choose? | GainFrame	1	0	1	0	0	0	0	0
(not set)	GainFrame for Trainers — AI Body Scans Your Clients Will Trust	1	0	1	0	0	0	0	0
(not set)	GainFrame——专为健身爱好者打造的AI体型应用	1	0	1	0	0	0	0	0
(not set)	How to Tell If You're Skinny Fat (And Why the Scale Can't) | GainFrame	1	0	1	0	0	0	0	0
(not set)	How to Test for Visceral Fat: Every Method Ranked | GainFrame	1	0	1	0	0	0	1	0
