landingPagePlusQueryString	pageTitle	recent_sessions	prior_sessions	sessions_delta	recent_newUsers	prior_newUsers	newUsers_delta	recent_engagedSessions	prior_engagedSessions
/	Progress photos that explain what changed | GainFrame	2403	680	1723	1855	526	1329	1093	334
/tools/physique-rater/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	859	0	859	725	0	725	725	0
/tools/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	699	0	699	598	0	598	536	0
/blog/1500-mrr-better-problems/	I Thought $1,500 MRR Meant I’d Figured It Out. It Just Gave Me Better Problems. | GainFrame	687	0	687	618	0	618	505	0
/tools/body-fat-visualizer/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	546	213	333	465	173	292	394	129
/blog/1500-mrr-better-problems/	Progress photos that explain what changed | GainFrame	304	0	304	0	0	0	304	0
/tools/body-fat-from-photo/	Free AI Body Fat Estimator from a Photo | GainFrame	1437	1158	279	994	860	134	1057	915
	Progress photos that explain what changed | GainFrame	217	0	217	0	0	0	0	0
/blog/average-bicep-size/	Average Bicep Size: By Height, Age & What Counts as Big | GainFrame	253	60	193	232	57	175	127	34
/blog/ideal-body-measurements-men/	Ideal Body Measurements for Men: The Classic Proportions Chart | GainFrame	268	92	176	239	88	151	157	45
/tools/	Free AI Body Fat Estimator from a Photo | GainFrame	349	175	174	0	0	0	335	175
/blog/best-body-scanning-measurement-apps/	6 Best Body Scanning & Measurement Apps in 2026 (Tested) | GainFrame	522	356	166	458	312	146	236	147
/blog/shoulder-to-waist-ratio/	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	188	44	144	173	42	131	63	6
/	Free AI Body Fat Estimator from a Photo | GainFrame	267	137	130	1	0	1	244	136
	Free AI Body Fat Estimator from a Photo | GainFrame	128	0	128	0	0	0	0	0
/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	113	0	113	0	0	0	106	0
/tools/body-visualizer/	Body Visualizer — Free BMI & Body Shape Visualizer | GainFrame	107	0	107	95	0	95	59	0
/blog/body-fat-visible-jawline-men/	Body Fat % for a Visible Jawline (Men): Targets by Face Type | GainFrame	164	73	91	137	67	70	75	31
/tools/body-fat-from-photo/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	86	0	86	0	0	0	80	0
/blog/average-chest-size/	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	116	31	85	96	31	65	58	17
/blog/chest-to-waist-ratio/	Chest-to-Waist Ratio: The Other V-Taper Number | GainFrame	100	20	80	74	20	54	55	11
/tools/body-fat-from-photo/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	79	0	79	6	0	6	65	0
/blog/ideal-body-measurements-women/	Ideal Body Measurements for Women: Averages, Ratios & What They Mean | GainFrame	77	0	77	70	0	70	41	0
/blog/average-waist-size-men/	Average Waist Size for Men: By Age, Height & What It Means | GainFrame	233	158	75	209	144	65	147	83
/blog/?tag=founder-story	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	95	29	66	59	19	40	33	22
(not set)	Progress photos that explain what changed | GainFrame	92	31	61	0	0	0	9	4
/blog/1500-mrr-better-problems/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	61	0	61	0	0	0	61	0
/tools/ai-body-transformation/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	61	0	61	35	0	35	28	0
/tools/	Progress photos that explain what changed | GainFrame	62	3	59	6	0	6	53	2
/tools/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	55	0	55	0	0	0	52	0
/blog/rate-my-physique/	Rate My Physique: How to Get an Honest Assessment | GainFrame	63	10	53	57	9	48	31	3
/blog/seo-weekly-audit-loop/	My SEO Is a Weekly Audit Loop Now. Organic Clicks Tripled in a Month. | GainFrame	52	0	52	30	0	30	23	0
/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	50	0	50	0	0	0	47	0
/blog/long-torso-short-legs/	Long Torso, Short Legs (or the Reverse): How to Tell & Why It Matters | GainFrame	64	18	46	56	14	42	31	7
/tools/physique-rater/	Free AI Body Fat Estimator from a Photo | GainFrame	46	0	46	0	0	0	41	0
/blog/best-ai-body-fat-apps/	Progress photos that explain what changed | GainFrame	81	36	45	0	0	0	80	36
/blog/average-forearm-size/	Average Forearm Size: Charts by Height & What Builds Them | GainFrame	68	25	43	62	25	37	33	14
/blog/body-fat-percentage-chart/	Body Fat Percentage Chart with Photos: Visual Guide for Men & Women | GainFrame	234	195	39	220	184	36	110	116
/tools/body-fat-estimator/	Body Fat Percentage Calculator — Free Estimate | GainFrame	43	4	39	3	4	-1	18	2
/blog/best-body-tracking-apps/	8 Best Body Tracking Apps in 2026 (Every Type Compared) | GainFrame	43	5	38	41	3	38	13	4
/tools/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	66	28	38	0	0	0	66	28
/blog/average-waist-size-women/	Average Waist Size for Women: By Age & What's Healthy | GainFrame	81	44	37	76	42	34	54	20
/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	36	0	36	0	0	0	35	0
/blog/1500-mrr-better-problems/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	36	0	36	0	0	0	36	0
/body-fat/18-percent-body-fat-male/	18% Body Fat Male: What It Looks Like (Pictures by Age) | GainFrame	36	0	36	33	0	33	20	0
/blog/best-body-rating-apps/	6 Best Body Rating Apps in 2026 (Tested) | GainFrame	46	11	35	44	11	33	21	5
/tools/body-fat-from-photo/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	221	186	35	0	0	0	205	186
/blog/why-do-abs-only-show-when-flexing/	Why Your Abs Only Show When You Flex (and What Changes That) | GainFrame	44	10	34	41	9	32	26	5
/tools/body-fat-from-photo/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	34	0	34	0	0	0	30	0
/blog/average-shoulder-width/	Average Shoulder Width: What's Broad, What's Average & What You Can Change | GainFrame	54	21	33	46	21	25	26	6
/blog/ai-body-editor-apps-vs-real-analysis/	5 Best AI Body Editor Apps 2026 (+ the Honest Alternative) | GainFrame	223	191	32	206	175	31	108	86
	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	30	0	30	0	0	0	0	0
/blog/best-ai-body-fat-apps/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	30	0	30	0	0	0	29	0
/blog/waist-to-height-ratio/	Waist-to-Height Ratio: The Chart and Why It Beats BMI | GainFrame	36	6	30	32	4	28	19	2
/blog/best-body-composition-scales/	6 Best Body Composition Scales in 2026 (Ranked by What You Get) | GainFrame	35	6	29	34	4	30	14	2
